Date,SI_Open,SI_High,SI_Low,SI_Close,Open,High,Low,Close
2012/1/2,7071.350098,7073.47998,6948.669922,6952.209961,58.347954,58.347954,58.347954,58.347954
2012/1/3,7005.390137,7073.790039,7005.390137,7053.379883,58.347954,58.347954,58.347954,58.347954
2012/1/4,7093.069824,7116.220215,7064.580078,7082.970215,58.347954,58.347954,58.347954,58.347954
2012/1/5,7099.350098,7130.859863,7073.319824,7130.859863,58.347954,58.347954,58.347954,58.347954
2012/1/6,7129.529785,7139.040039,7090.470215,7120.509766,58.923519,60.794106,58.923519,59.06741
2012/1/9,7103.089844,7103.089844,7050.25,7093.040039,59.355194,61.153835,58.707684,60.07465
2012/1/10,7128.859863,7181.740234,7128.859863,7178.870117,61.153835,63.887772,60.794106,62.592751
2012/1/11,7203.100098,7212.359863,7184.379883,7188.209961,62.880531,63.959717,61.873291,62.736641
2012/1/12,7202.379883,7209.740234,7173.870117,7186.580078,62.880531,62.880531,60.146595,60.57827
2012/1/13,7226.240234,7249.939941,7169.919922,7181.540039,60.938,61.44162,60.146595,61.009945
2012/1/16,7241.919922,7258.839844,7091.350098,7103.620117,61.873291,61.873291,60.506325,61.009945
2012/1/17,7144.200195,7221.080078,7118.359863,7221.080078,61.009945,65.254738,61.009945,65.254738
2012/1/18,7235.540039,7245.129883,7194.549805,7233.689941,65.614471,69.787315,65.614471,69.57148
2012/1/30,7382.720215,7443.029785,7382.720215,7407.410156,71.945686,74.104057,71.945686,74.104057
2012/1/31,7436.52002,7517.080078,7421.009766,7517.080078,76.622154,76.622154,69.067863,69.859261
2012/2/1,7520.359863,7566.080078,7488.970215,7549.209961,69.859261,70.938446,69.067863,70.506775
2012/2/2,7613.790039,7652.459961,7578.759766,7652.459961,70.506775,72.665146,68.348404,70.866501
2012/2/3,7658.680176,7674.990234,7608.410156,7674.990234,69.71537,70.57872,67.916733,69.067863
2012/2/6,7752.279785,7752.279785,7677.560059,7687.97998,73.384605,73.384605,70.147049,70.506775
2012/2/7,7680.359863,7751.759766,7673.910156,7707.439941,73.024872,75.183243,72.30542,75.183243
2012/2/8,7766.379883,7869.910156,7766.379883,7869.910156,76.622154,80.219444,76.262428,80.219444
2012/2/9,7863.359863,7910.779785,7840.379883,7910.779785,81.29863,85.615372,80.219444,83.457001
2012/2/10,7922.609863,7941.629883,7848.779785,7862.27002,84.895912,88.852928,83.457001,87.773743
2012/2/13,7849.209961,7917.959961,7837.580078,7912.910156,87.773743,89.212654,84.536186,89.212654
2012/2/14,7937.279785,7937.279785,7829.759766,7884.080078,89.212654,91.730751,87.414009,89.212654
2012/2/15,7919.410156,8011.870117,7902.080078,8005.240234,89.212654,92.090485,87.054283,88.852928
2012/2/16,7983.75,8010.5,7851.620117,7869.700195,87.054283,88.133469,82.737541,82.737541
