Date,SI_Open,SI_High,SI_Low,SI_Close,Open,High,Low,Close
2019/1/2,9725.269531,9737.679688,9542.519531,9554.139648,75.099998,75.699997,74.699997,75.300003
2019/1/3,9494.25,9554.530273,9474.469727,9492.419922,75,75.199997,69,70.599998
2019/1/4,9427.240234,9427.240234,9319.280273,9382.509766,69,70.5,66.900002,70
2019/1/7,9460.200195,9596.349609,9460.200195,9590.299805,71.699997,72.099998,70.599998,71
2019/1/8,9591.55957,9600.94043,9547.629883,9563.599609,70.300003,70.5,68.300003,68.800003
2019/1/9,9584.629883,9741.639648,9584.629883,9738.30957,67.400002,70.5,66.800003,70
2019/1/10,9731.110352,9731.110352,9683.200195,9720.69043,69.300003,69.900002,68.300003,68.300003
2019/1/11,9753.629883,9796.980469,9736,9759.400391,68.300003,69.199997,68.199997,68.5
2019/1/14,9737.669922,9762.370117,9677.490234,9708.219727,69,70.199997,68.800003,69.599998
2019/1/15,9701.929688,9806.040039,9701.929688,9806.040039,69.400002,70.199997,69.099998,69.800003
2019/1/16,9781.349609,9803.990234,9763.80957,9763.80957,69.800003,71.599998,69.599998,70.400002
2019/1/17,9773.30957,9826.25,9759.509766,9789.150391,71.199997,73.599998,70.699997,73
2019/1/18,9781.389648,9842.799805,9771.150391,9836.05957,72,75.900002,72,74.800003
2019/1/21,9870.269531,9919.94043,9870.269531,9889.400391,74.900002,75.599998,73.599998,73.900002
2019/1/22,9880.540039,9894.660156,9855.469727,9894.660156,74,74.5,72.099998,72.099998
2019/1/23,9869.540039,9873.389648,9828.030273,9846.400391,72.599998,73.5,71.800003,72.400002
2019/1/24,9865,9892.820313,9847.320313,9877.120117,72.5,73.199997,71.599998,71.800003
2019/1/25,9923.389648,9980.080078,9918.209961,9969.610352,72,73.599998,72,73.199997
2019/1/28,10006.45996,10020.59961,9990.070313,10013.33008,73.400002,74.900002,73.099998,73.5
2019/1/29,9944.709961,9952.339844,9893.959961,9931.589844,73.400002,74.699997,72.599998,74.5
2019/1/30,9915.969727,9959.030273,9909.80957,9932.259766,74.599998,75.300003,74.300003,75.199997
2019/2/11,10029.83984,10065.51953,9988.830078,10004.25,76,78,75.599998,78
2019/2/12,10032.08008,10100.23047,10032.08008,10097.74023,77.900002,80,77.900002,79
2019/2/13,10123.61035,10140.98047,10074.33984,10090.58008,79.400002,79.400002,77.300003,77.800003
