Date,Open,High,Low,Close
2003/12/9,5881.709961,5881.709961,5830.299805,5859.560059
2003/12/10,5813.279785,5834.419922,5773.75,5803.419922
2003/12/11,5819.129883,5868.569824,5819.129883,5867.049805
2003/12/12,5912.930176,5922.709961,5849.419922,5858.319824
2003/12/15,5910.919922,5924.240234,5874.060059,5924.240234
2003/12/16,5876.560059,5906.77002,5871.879883,5887.22998
2003/12/17,5904.370117,5910.629883,5718.439941,5752.009766
2003/12/18,5743.029785,5801.609863,5724.939941,5768.759766
2003/12/19,5829.02002,5829.02002,5755.220215,5759.22998
2003/12/22,5782.089844,5850.740234,5773.640137,5835.109863
2003/12/23,5858.109863,5858.339844,5827.939941,5845.509766
2003/12/24,5865.930176,5900.100098,5849.569824,5857.870117
2003/12/25,5870,5896.459961,5845.640137,5853.700195
2003/12/26,5873.399902,5881.330078,5835.990234,5857.209961
2003/12/29,5870.080078,5874.200195,5804.890137,5804.890137
2003/12/30,5845.169922,5886.790039,5813.339844,5866.75
2003/12/31,5872.450195,5900.819824,5868.740234,5890.689941
2004/1/2,5907.149902,6043.299805,5907.149902,6041.560059
2004/1/5,6080.180176,6137.910156,6061.859863,6125.419922
2004/1/6,6170.02002,6170.02002,6110.689941,6144.009766
2004/1/7,6174.950195,6215.450195,6130.350098,6141.25
2004/1/8,6180.359863,6189.600098,6142.240234,6169.169922
2004/1/9,6241.359863,6257.890137,6207.689941,6226.97998
2004/1/12,6225.22998,6246.620117,6196.410156,6219.709961
2004/1/13,6239.160156,6255.939941,6195.640137,6210.220215
2004/1/14,6195.089844,6298.720215,6190.350098,6274.970215
2004/1/15,6297.589844,6306.950195,6253.640137,6264.370117
2004/1/16,6300.759766,6311.459961,6264.040039,6269.709961
2004/1/27,6371.5,6399.819824,6334.819824,6384.629883
2004/1/28,6360.709961,6421.450195,6335.540039,6386.25
2004/1/29,6348.930176,6379.049805,6303.209961,6312.649902
2004/1/30,6331.709961,6386.129883,6329.169922,6375.379883
2004/2/2,6379.97998,6388.970215,6319.959961,6319.959961
2004/2/3,6281.529785,6281.529785,6210.350098,6252.22998
2004/2/4,6271.540039,6297.919922,6233.879883,6241.390137
2004/2/5,6241.919922,6323.75,6241.919922,6268.140137
2004/2/6,6321.149902,6384.089844,6314.830078,6353.350098
2004/2/9,6442.839844,6475.379883,6422.620117,6463.089844
2004/2/10,6489.649902,6503.240234,6425.319824,6488.339844
2004/2/11,6518.160156,6518.160156,6440.299805,6454.390137
2004/2/12,6505.529785,6578.819824,6397.339844,6436.950195
2004/2/13,6467.149902,6554.779785,6459.140137,6549.180176
2004/2/16,6566.759766,6590.25,6518.100098,6565.370117
2004/2/17,6586.490234,6616.040039,6576.220215,6600.470215
2004/2/18,6656.100098,6661.129883,6586.740234,6605.850098
2004/2/19,6647.859863,6688.140137,6626.470215,6681.52002
2004/2/20,6692.029785,6708.040039,6656.060059,6665.540039
2004/2/23,6686.669922,6695.450195,6607.359863,6665.890137
2004/2/24,6650.160156,6686.850098,6589.22998,6589.22998
2004/2/25,6619.689941,6672.240234,6595.240234,6644.279785
2004/2/26,6709.430176,6730.959961,6660.52002,6693.25
2004/2/27,6732.629883,6756.759766,6713.669922,6750.540039
2004/3/1,6816.790039,6896.359863,6816.790039,6888.430176
2004/3/2,6964.660156,6984.410156,6897.359863,6975.259766
2004/3/3,6981.540039,7003.879883,6930.009766,6932.169922
